season,week,matchup_id,is_playoff,is_consolation,home_team_id,home_team_name,home_score,away_team_id,away_team_name,away_score,winner,margin,home_owner_name,away_owner_name,home_owner_slug,away_owner_slug
2023,4,,0,0,9,R.I.P. Kirko Chainz ,102.0,6,CeeDeeCee Guidelines,140.0,CeeDeeCee Guidelines,38.0,Tyler,Nathaniel,tyler,nathaniel
2023,5,,0,0,7,BYE-WEEK,105.0,2,Cincinnati Gun Owners Club,88.0,BYE-WEEK,17.0,Justin,Gerson,justin,gerson
2023,5,,0,0,5,McDonalds all Day breakfast ,154.0,8,Team King,135.0,McDonalds all Day breakfast ,19.0,Max,Connor,max,connor
2023,5,,0,0,3,Magic SkolBus,86.0,9,R.I.P. Kirko Chainz ,150.0,R.I.P. Kirko Chainz ,64.0,Marcel,Tyler,marcel,tyler
2023,5,,0,0,4,RidenforBiden BBB,96.0,1,Shoneys Squanch Squad,130.0,Shoneys Squanch Squad,34.0,Mike,Ethan,mike,ethan
2023,5,,0,0,10,Tanner's team,142.0,6,CeeDeeCee Guidelines,117.0,Tanner's team,25.0,Tanner,Nathaniel,tanner,nathaniel
2023,6,,0,0,9,R.I.P. Kirko Chainz ,95.0,1,Shoneys Squanch Squad,118.0,Shoneys Squanch Squad,23.0,Tyler,Ethan,tyler,ethan
2023,6,,0,0,6,CeeDeeCee Guidelines,119.0,4,RidenforBiden BBB,122.0,RidenforBiden BBB,3.0,Nathaniel,Mike,nathaniel,mike
2023,6,,0,0,10,Tanner's team,100.0,5,McDonalds all Day breakfast ,151.0,McDonalds all Day breakfast ,51.0,Tanner,Max,tanner,max
2023,6,,0,0,3,Magic SkolBus,138.0,7,BYE-WEEK,75.0,Magic SkolBus,63.0,Marcel,Justin,marcel,justin
2023,6,,0,0,2,Cincinnati Gun Owners Club,112.0,8,Team King,84.0,Cincinnati Gun Owners Club,28.0,Gerson,Connor,gerson,connor
2023,7,,0,0,4,RidenforBiden BBB,95.0,9,R.I.P. Kirko Chainz ,130.0,R.I.P. Kirko Chainz ,35.0,Mike,Tyler,mike,tyler
2023,7,,0,0,5,McDonalds all Day breakfast ,109.0,6,CeeDeeCee Guidelines,109.0,TIE,0.0,Max,Nathaniel,max,nathaniel
2023,7,,0,0,7,BYE-WEEK,81.0,10,Tanner's team,116.0,Tanner's team,35.0,Justin,Tanner,justin,tanner
2023,7,,0,0,8,Team King,82.0,3,Magic SkolBus,100.0,Magic SkolBus,18.0,Connor,Marcel,connor,marcel
2023,7,,0,0,1,Shoneys Squanch Squad,152.0,2,Cincinnati Gun Owners Club,136.0,Shoneys Squanch Squad,16.0,Ethan,Gerson,ethan,gerson
2023,8,,0,0,9,R.I.P. Kirko Chainz ,165.0,5,McDonalds all Day breakfast ,132.0,R.I.P. Kirko Chainz ,33.0,Tyler,Max,tyler,max
2023,8,,0,0,6,CeeDeeCee Guidelines,106.0,7,BYE-WEEK,87.0,CeeDeeCee Guidelines,19.0,Nathaniel,Justin,nathaniel,justin
2023,8,,0,0,10,Tanner's team,102.0,8,Team King,154.0,Team King,52.0,Tanner,Connor,tanner,connor
2023,8,,0,0,3,Magic SkolBus,113.0,1,Shoneys Squanch Squad,88.0,Magic SkolBus,25.0,Marcel,Ethan,marcel,ethan
2023,8,,0,0,2,Cincinnati Gun Owners Club,138.0,4,RidenforBiden BBB,117.0,Cincinnati Gun Owners Club,21.0,Gerson,Mike,gerson,mike
2023,9,,0,0,7,BYE-WEEK,69.0,9,R.I.P. Kirko Chainz ,121.0,R.I.P. Kirko Chainz ,52.0,Justin,Tyler,justin,tyler
2023,9,,0,0,8,Team King,115.0,5,McDonalds all Day breakfast ,125.0,McDonalds all Day breakfast ,10.0,Connor,Max,connor,max
2023,9,,0,0,6,CeeDeeCee Guidelines,165.0,2,Cincinnati Gun Owners Club,107.0,CeeDeeCee Guidelines,58.0,Nathaniel,Gerson,nathaniel,gerson
2023,9,,0,0,1,Shoneys Squanch Squad,96.0,4,RidenforBiden BBB,77.0,Shoneys Squanch Squad,19.0,Ethan,Mike,ethan,mike
2023,9,,0,0,10,Tanner's team,78.0,3,Magic SkolBus,97.0,Magic SkolBus,19.0,Tanner,Marcel,tanner,marcel
2023,10,,0,0,8,Team King,158.0,6,CeeDeeCee Guidelines,133.0,Team King,25.0,Connor,Nathaniel,connor,nathaniel
2023,10,,0,0,1,Shoneys Squanch Squad,127.0,7,BYE-WEEK,88.0,Shoneys Squanch Squad,39.0,Ethan,Justin,ethan,justin
2023,10,,0,0,9,R.I.P. Kirko Chainz ,102.0,10,Tanner's team,127.0,Tanner's team,25.0,Tyler,Tanner,tyler,tanner
